Ticker,FloatShares
PTIR,0.0
INKT,990981.0
DFDV,9579598.0
AEVA,31381919.0
SBET,99325101.0
ANPA,4040000.0
CONL,0.0
NKTR,16859264.0
CRCL,128987486.0
NEGG,19396400.0
AIRO,15515253.0
SRPT,93466439.0
SOLT,0.0
ENVX,168020061.0
GRRR,12734059.0
BKSY,28132118.0
AAOI,51638372.0
CRWV,359511003.0
MTSR,50715348.0
MSTX,0.0
IREN,224778169.0
OSCR,206163171.0
PLTZ,0.0
HIMZ,0.0
TSSI,12995672.0
BULL,190364940.0
METC,32740752.0
KSS,107532869.0
CDNA,51933703.0
GRAL,29807026.0
ZEPP,3570879.0
SEDG,57726333.0
OUST,48216028.0
QUBT,128028660.0
SMR,121464069.0
TSLL,0.0
TSLR,0.0
SOUN,392710581.0
RDW,51072148.0
HELE,22478128.0
USAR,59726990.0
VOYG,55295845.0
BTDR,108561969.0
DNA,50404312.0
TSLQ,0.0
TSDD,0.0
CLSK,272891021.0
HSAI,132051412.0
SMCX,0.0
SMCL,
AEHR,27727618.0
INOD,30415955.0
CORZ,278294717.0
LTBR,21939126.0
TNXP,7351924.0
LUNR,71498715.0
SMST,0.0
RIOT,341944890.0
QBTS,295728388.0
ENPH,125852021.0
PONY,266831147.0
CNC,485373483.0
GLXY,124049993.0
MOH,53571063.0
MARA,362376829.0
RGTI,314513761.0
NNE,27011135.0
IONQ,252415146.0
ASTS,176762014.0
KALV,38590831.0
ACHR,532693506.0
MP,129660014.0
DQ,66135673.0
MBLY,584536819.0
CDTX,17489425.0
SERV,41067865.0
SG,113655493.0
CFLT,332932361.0
BEAM,89832696.0
NTLA,97432655.0
NVCR,99041280.0
OKLO,104739478.0
VG,2373100056.0
SEI,61737200.0
RKLB,448624394.0
APLD,201206011.0
NBIS,222410651.0
CRK,77974285.0
AVXL,82558828.0
COIN,248302154.0
HUT,102135971.0
RARE,88375214.0
PCT,174550595.0
VERB,987328.0
OPFI,79576582.0
APGE,48249077.0
LMND,58259597.0
CRI,35080091.0
COGT,137566184.0
VTLE,30258424.0
CRSP,81789705.0
QURE,49745568.0
TNDM,65966838.0
ALB,116587225.0
FIG,
BRKR,102989329.0
CAR,34016629.0
SOC,75043083.0
ARWR,115202881.0
SMMT,111439988.0
PPTA,106794190.0
CHYM,216099433.0
PRCH,61481532.0
DYN,106621035.0
AAP,58971105.0
PGY,47621892.0
PLTU,
ALGN,67879623.0
ZETA,186295449.0
BHVN,89165576.0
CSIQ,45346742.0
TWST,56885543.0
SYM,43847145.0
TEM,90139944.0
ENOV,55905765.0
MXL,80832299.0
AMDL,0.0
DOW,705854096.0
LBRT,155866292.0
PBF,82254738.0
CELC,33317365.0
BE,208236458.0
CWH,59385610.0
QDEL,66994882.0
KC,162580932.0
ALAB,124951529.0
TXG,118871931.0
JOBY,448023854.0
MRNA,342488273.0
LBRDK,130465876.0
AVAV,30082395.0
ETOR,72264127.0
HIMS,199837463.0
BABX,0.0
TGTX,142983484.0
LFMD,36340809.0
SATS,243926701.0
GRPN,21096640.0
CC,148563718.0
XPRO,113701782.0
KTOS,162887870.0
SNDX,82480056.0
AXGN,43086081.0
SNCY,46728545.0
U,326022105.0
IMVT,68631514.0
IART,65884177.0
GOOS,96298600.0
PRCT,52603066.0
ZVRA,54034435.0
OLN,114108914.0
AI,120860263.0
PII,52488362.0
ABVX,65870636.0
VRNT,59018675.0
UPST,82426881.0
VSAT,116521865.0
BTU,120558739.0
HCC,51303500.0
AVTR,663300554.0
ADPT,144911043.0
DJT,129562155.0
SUPV,55176013.0
