Ticker,FloatShares
KALA,6348726.0
QH,88049087.0
DKI,4516480.0
FMFC,8740080.0
AREB,365274.0
NVA,16142698.0
MSGY,2394500.0
BTTC,154829937.0
TVRD,6159939.0
ELBM,17264343.0
SLE,786894.0
NEUP,1791534.0
USARW,54877699.0
EPSM,2638033.0
VCIG,682900.0
AIIO,157212201.0
UFG,16584174.0
FOFO,2210479.0
VSME,48507314.0
ARQQW,653121520.0
MFH,36433489.0
AQMS,1500000.0
SLMT,1700725.0
BYND,378308746.0
SGBX,159704.0
BGMS,2237152.0
HSDT,29409998.0
BOXL,2482024.0
CRMLW,75842482.0
FLUX,11010715.0
GLTO,1288116.0
DLXY,4317450.0
TGE,7451073.0
ATMV,1726937.0
MGN,4989300.0
MLTX,55131280.0
SMX,101046.0
GIGGW,14684000.0
ORBS,138345643.0
AGMH,1832269.0
RZLVW,333023549.0
NIOBW,
SHFS,1656548.0
XBIO,1298789.0
AGRZ,9928265.0
DFLI,29617831.0
RITR,20411321.0
ZYBT,4418772.0
SCNX,7907603.0
CCTG,2309887.0
QLGN,1695450.0
STI,1468292.0
EOSEW,269121251.0
NIVF,1813983.0
TMCWW,143020262.0
BTQ,92494519.0
GWH,5839575.0
IVF,658858.0
IMSRW,
CHAI,19921782.0
SOPA,4550124.0
PXLW,4718448.0
GWAV,55461468.0
CRML,30462953.0
LINK,2452501.0
NKLR,22418491.0
ZNB,64171283.0
NVX,117913171.0
COOT,5044920.0
BETRW,780019848.0
BAIG,
CCCXW,41400050.0
HIMZ,0.0
QNRX,3582349.0
CIIT,8098600.0
SPRC,515285.0
ARCT,25017468.0
ONMD,21652505.0
DVLT,52836920.0
INDP,467933.0
WHLR,232639.0
SMTK,3984870.0
LAZR,49188454.0
GNTA,12079890.0
PMAX,380229.0
BNBX,1291439.0
BIAF,715794.0
ZOOZ,8654651.0
KITT,5354724.0
RUBI,
BZAIW,412419620.0
HOVRW,181712661.0
RAYA,601004.0
ASST,366984180.0
USAR,69072882.0
ABAT,77501481.0
ABVE,45265214.0
QCLS,1757079.0
RYOJ,1994700.0
MAMK,1466100.0
BENF,7970041.0
AIRE,21700337.0
OSCX,
INHD,4856521.0
TGHL,12722768.0
CPOP,5962717.0
WLACW,12650000.0
FLYE,5939369.0
EVAX,5102445.0
LGO,59989366.0
NITO,570013.0
INV,28309152.0
SKYE,18620012.0
NUKK,5238694.0
SPHL,3300005.0
MIMI,17498327.0
TBH,5878180.0
MIGI,15499077.0
SLNH,23034225.0
AGRI,1983027.0
ARBB,1281666.0
HXHX,3919600.0
ZSPC,4712866.0
IPST,21332854.0
UPC,563332.0
IBG,1043222.0
IONZ,0.0
ATON,829851.0
LESL,9085898.0
AEHL,2521257.0
VSEE,7122123.0
NTLA,101924795.0
WLDS,843484.0
UHG,21067834.0
LAC,198664999.0
BJDX,1637982.0
OMEX,25078983.0
POAI,720099.0
WGRX,12413886.0
OPAD,26297581.0
VSA,45897054.0
FORD,1361676.0
CLSKW,272440068.0
GIPR,4455304.0
SGLY,4203492.0
COCH,11207456.0
SOND,11270383.0
VWAVW,5047915.0
GRAN,1894310.0
SUGP,4019541.0
NFE,184809206.0
IRBT,26579706.0
HYPR,70757473.0
ABVEW,483994718.0
GSIT,23693151.0
ASNS,7084263.0
ALEC,84573022.0
EUDA,18401587.0
SATL,57149412.0
TIRX,10864349.0
BACQR,
YHGJ,875413.0
FEMY,25233888.0
LNAI,9927439.0
GTBP,3097838.0
ILLR,142854211.0
TRON,15324165.0
GNPX,667937.0
BULG,
RVPH,65522161.0
AQB,3788973.0
YYAI,94825.0
ADGM,15102147.0
IONR,48742216.0
TURB,1291760.0
XTLB,5315265.0
AREC,56987492.0
DUO,3341867.0
RECT,2400040.0
PRHI,3376082.0
EDHL,8120750.0
CRCG,
CIFRW,53345723.0
RDHL,2416078.0
APLT,119979382.0
BRBI,104995704.0
MRM,3758181.0
NVNI,1225752.0
PSTV,60339903.0
HYPD,2665756.0
SGD,1336477.0
XELB,3528003.0
EPOW,15798970.0
IMSR,
LITM,7823360.0
ONDS,342231218.0
RKDA,1355830.0
AMBR,17843341.0
BCAB,46161628.0
NCNA,5714677.0
ECDA,243732.0
PLUG,1092918181.0
NMG,30070792.0
CAN,422417142.0
SLDPW,163384360.0
NERV,5437023.0
VELO,5318941.0
BLBX,2545606.0
SOGP,3286469.0
NXXT,24177191.0
FATN,6128305.0
NAMM,3115975.0
NB,75795278.0
RR,117244072.0
LCDL,0.0
YAAS,46287.0
XCH,15223161.0
VSTD,2994048.0
SES,248851075.0
ISPC,5423730.0
ELWS,1093528.0
HOWL,31816454.0
LBGJ,3312022.0
SOC,74849689.0
FEAM,5140096.0
BZAI,64899731.0
KLRS,4309224.0
KIDZ,7178867.0
ICU,27694350.0
MTEK,4738313.0
MOB,6868385.0
MCTR,3441230.0
SOLT,0.0
SCLX,5891581.0
JXG,3383327.0
POLA,1701462.0
CREG,2515861.0
BTOC,12317774.0
HOVR,32581121.0
SSKN,2203017.0
COSM,20355088.0
NUAI,6183784.0
DPRO,5402972.0
IVA,43973293.0
ELAB,423489.0
STKH,497651.0
CRWG,
CETX,672788.0
RANI,52672684.0
CLIR,43137393.0
STAI,20019145.0
POET,90239845.0
ARAI,3428062.0
XRTX,3624889.0
CISS,684669.0
MNDR,645037.0
IPW,413774.0
ATOM,30354865.0
AGH,4460282.0
QUBT,142363187.0
IMCC,870957.0
CCHH,
VEEA,5798144.0
VVPR,4388467.0
RELI,2162277.0
RZLV,89440482.0
MSTX,0.0
AEC,10046617.0
ACXP,1301227.0
IPDN,1123262.0
STEX,25370677.0
CIGL,1244962.0
DBGI,4491321.0
JFBR,366980.0
STEM,7923805.0
XBP,8962482.0
SDOT,789394.0
CLIK,132507.0
TVACW,22636797.0
SDST,4226932.0
CETY,1987844.0
BDRX,619523.0
CDLX,46518404.0
OP,5213018.0
DHAI,944238.0
DSY,5399788.0
MNTS,8692682.0
SBLX,606941.0
CHEK,5266863.0
KWM,62638074.0
CCCX,41400050.0
GCL,30537463.0
APM,5110484.0
AKTX,16242.0
BITF,524914372.0
BNZI,2340037.0
FGNX,32282945.0
REE,21031360.0
CURX,7235733.0
RNAZ,750393.0
RCAT,88003048.0
SEGG,3537500.0
ENTO,4440197.0
GORV,3718141.0
NXL,14697423.0
PASW,4950540.0
PALI,9097175.0
QMCO,5798330.0
MOBX,34086738.0
NCT,3954250.0
ULY,1253336.0
FBGL,4134375.0
TLRY,1110680861.0
CWD,939855.0
SPAI,6382570.0
BLNE,6704981.0
IVDA,2795951.0
CHNR,523379.0
LGCB,1815419.0
LIMN,12455225.0
MLEC,4012679.0
AMTX,58602864.0
ANY,25451649.0
MGRT,2727300.0
YMAT,3346303.0
GREE,11118722.0
STAK,1828000.0
RMCO,4879402.0
MGRX,5115737.0
OSRH,6928857.0
RCT,4901947.0
INTS,25403893.0
PFAI,3625011.0
OVID,59524352.0
BLNK,103380242.0
UP,426126321.0
ZGM,3521478.0
GGR,9804020.0
AIXI,8989501.0
NDRA,681845.0
MASK,1111100.0
SKBL,9872090.0
CYCN,1794044.0
SEED,6381460.0
BDMD,12478758.0
NPWR,32254448.0
MST,0.0
GRRRW,723901553.0
SONN,6743545.0
MSAI,26844875.0
BMEA,52342502.0
PRME,58404386.0
ZCMD,3485754.0
FOSL,44470281.0
CDT,303476.0
SILO,7597684.0
VERI,48407051.0
LWLG,128017441.0
TAOX,3379045.0
WATT,1446961.0
BGL,12366836.0
SHMD,14337420.0
ANGX,
CASI,3078229.0
KMRK,5742202.0
SMCZ,0.0
ARTV,5407131.0
BKYI,4175408.0
ARBE,76453995.0
NUAIW,
ATLX,10184050.0
NDLS,32326209.0
XPON,3329164.0
SLDP,163384360.0
UPXI,54288366.0
RMSG,2633907.0
SUIG,72357545.0
SMCL,
BRNS,35690749.0
PRSO,4212701.0
KDKRW,10638385.0
ACET,76293661.0
BAOS,937633.0
PEPG,24855303.0
GNLN,1386533.0
DKNX,
ALXO,37497176.0
CMBM,12698981.0
TDTH,22436804.0
CLPS,13239703.0
LAES,104440075.0
BEEM,13452482.0
RBOT,3317808.0
SERV,49492277.0
MYSE,3914802.0
BNC,43028797.0
AUID,11734100.0
XRPT,
EAF,179368477.0
TE,108417518.0
CAPS,1933799.0
EDIT,89572173.0
LASE,5263576.0
MNY,19278774.0
NINE,33494877.0
TCRT,1865170.0
SAVA,43216244.0
SIFY,69977307.0
HIT,13188891.0
CNTX,58821017.0
CSAI,16332216.0
WETH,11916263.0
TMC,143020262.0
DRIO,37741598.0
DWTX,1354225.0
LRMR,43140125.0
KAVL,4213987.0
GPRO,151540906.0
ALTS,107982833.0
LGHL,79833.0
SINT,2202871.0
CLLS,85910084.0
BSLK,1409762.0
CREV,1838404.0
BRLS,5222517.0
MGIH,1249988.0
LPTH,41259496.0
ASPI,74289689.0
KDK,81440038.0
CLRB,3010860.0
IOBT,49273781.0
SRFM,19099033.0
SOS,660181.0
TAOP,571446.0
ZENA,8361614.0
EDSA,5582024.0
FCEL,21368489.0
NAKA,344070695.0
THH,19995788.0
VIVS,2572005.0
KLTO,40255945.0
NEOV,29553469.0
QSI,164970813.0
FGI,521435.0
NBP,97820014.0
FLWS,54368182.0
SNTG,1059319.0
DFDV,9691108.0
QTTB,4503341.0
PPCB,11529628.0
CRBP,10803571.0
RLMD,23007105.0
SNGX,3263488.0
IVVD,79367542.0
MGX,25276690.0
PRLD,39240230.0
GLXG,194982.0
DRMA,498470.0
FTHM,13167503.0
STKE,15861670.0
LIDR,38574670.0
HIVE,216848302.0
STSS,28185393.0
FATE,100797002.0
KSCP,8139178.0
REKR,122039737.0
GITS,1999428.0
CIFR,320281528.0
HUBC,9728395.0
ADVM,13845270.0
AVR,30362352.0
ASTC,1457816.0
SUUN,26210772.0
OFAL,5612468.0
DDD,122361916.0
HCTI,5819990.0
CHGG,102983220.0
ZURA,37881471.0
ALMU,10074233.0
ICG,12761425.0
GTI,46249281.0
VRME,9690211.0
