Ticker,FloatShares
CUPR,7365072
RYET,12731514
ETHZ,85867834
PBM,713232
ENVXW,
EMPD,44673176
CYCC,1584980
LMFA,5014533
IVF,658858
SONN,6156549
CWD,1068258
LHAI,6999999
NUWE,75963
RCON,13747047
MJID,4950540
ZOOZ,7598452
XXII,400054
SGD,1336477
TRON,15292705
SQFT,1158638
LIMN,12455210
BRNS,37212847
SNGX,3263488
HIMZ,0
CDLX,50332081
HTOO,1789475
BSLK,1417731
XAGE,927220
PEW,
PLRZ,5880763
BKKT,11181131
LIDR,36407616
BLNE,6704981
TWG,26031263
SBET,159296293
AUUD,1128897
CPOP,5962717
REPL,63832475
CREG,2474905
AGRI,368607
RMSG,0
MCVT,23969562
ABVE,45265260
TSSI,14732393
SMX,1185722
LAWR,18050684
WKHS,9429843
SMCL,
AGH,4460282
DARE,8709456
OFAL,5612468
BTBD,3172998
HCTI,5826592
QLGN,1556375
GVH,296542
IOBT,49273781
XPON,3367483
PROK,99335739
SABS,8391960
DFDV,9691108
BTCS,29844008
YYAI,4741406
MRKR,9198561
DPRO,5414486
BTAI,5493745
HUMA,125188452
FFAI,92895076
VWAV,5029943
SCNI,833808
CTOR,3836396
MRM,3758181
NFE,178083923
MEIP,6150339
HWH,863161
DGXX,27701021
IMNN,2450184
SRFM,19099033
TROO,40429031
ACDC,11066224
TELO,18713342
LAZR,49188469
AEVA,32126278
IOVA,292726859
ALBT,1485368
OCTO,2467548
SY,110788516
GV,2300817
XRPT,
ONCO,219701
TRIB,10016467
UPXI,51661554
MFH,33648878
VVPR,4388462
RDW,53605494
RILY,15848976
ABAT,88939339
GMHS,3885174
QS,407052579
NMRA,65287814
LFMD,37943261
OPAD,24739960
ALTS,119747166
AMOD,4918455
APM,5769999
BSGM,19079863
WOLF,153979532
BMGL,5231363
VERI,44173001
SEAT,3151576
BZAI,66761411
CRDF,61074701
IPDN,1123262
BGLC,1274190
AEMD,2493389
VOR,67560043
PROP,23847416
SRPT,92919189
SMXT,28179397
IRBT,28590335
OPEN,642007264
TNON,7616461
SLDP,147333313
NVTS,155713448
ZNB,112582
INMB,18902068
HIT,13294339
TIVC,1082214
AGL,304046407
BTCM,15469683
SANA,132865624
BBAI,357668341
XELB,3386371
CASI,3078213
ASST,14953514
PRFX,1804570
ADN,2557737
NCNA,5714677
OMEX,25078983
