Ticker,FloatShares
TLIH,5469796
CJET,25543304
ELWS,1071093
PN,10349910
SDM,7147750
NCT,3954250
JEM,5142516
BNC,787205
FGNX,1166518
NAKA,2529641
YMAT,3346303
SOS,205514398
BIVI,1614601
TZUP,3497446
ASPSZ,
VEEA,5798144
BGLWW,11893331
TLSIW,
ISPC,5423730
CIIT,7526349
MLEC,4012679
TMCWW,181367912
SPRC,534582
STAK,1828000
SCNX,7907603
SLXN,560964
MASK,1111100
LCDL,0
YSXT,8854764
CYCC,1584980
HYPD,2665756
ARAI,3473836
INTJ,4120501
ARBKL,0
CMBM,12620346
LZMH,4606500
MIMI,17496168
LGHL,79833
BZAIW,412419620
ASPSW,
USARW,54877699
CREV,1838404
RUBI,
LGCL,15456507
TRUG,754156
NAMM,3116134
GORV,3723326
TWG,26031263
YORKW,
MDAIW,
RCT,4901947
TGE,0
YOUL,
TAOX,1306843
RTACW,
ATHR,4014718
MB,4647630
CIGL,1437596
SBDS,830180
VSEE,6257593
AEHL,2521257
NVFY,9639634
ROMA,56195895
BRNS,37212847
DFSC,1067503
ZSPC,4695476
KIDZ,7178867
MGRT,2727300
GTBP,3038040
BGL,11893333
NRSN,17826657
NIOBW,
SONN,6156549
NUWE,75963
CGTL,1437491
QNTM,2851332
AIFU,2026288
CNSP,573502
EMPD,44676497
YYGH,9991636
ENLV,22657929
AUROW,9527979476
SEAT,3151576
HCHL,0
HUBC,9728395
AACG,9211129
VBIX,6873359
SORA,4863995
FPAY,8045487
PGYWW,3242423015
DOGZ,5615392
ACXP,1376104
NCPL,4186584
FOXX,1348518
WBUY,468149
XXII,400054
FEAM,4596643
RBOT,2981060
GWH,5839575
SAIH,10110448
MCTR,3441230
IMNN,2450184
VRCA,5292937
AMBR,17843341
PXLW,4901387
SBLX,616133
BNZI,2099395
DAVEW,1543146570
CRMLW,75842482
IONZ,0
UPC,552605
PLBL,
PC,2405555
IBG,5541552
MSW,2047163
ADAG,29395848
AISPW,21219173
INKT,1124567
GTENW,35880000
TCRT,1656875
CNTB,14343869
CELU,13380920
NDLS,32527812
CURR,9340155
JXG,3449322
BDRX,36
NEOV,28966102
ALBT,1485368
JZXN,54787341
JDZG,791934
,30876600
LUNG,35938419
EUDA,18401587
GVH,296542
KYIVW,
GNLN,1386550
LVLU,966587
RPID,22259809
JUNS,14609204
OBLG,1523248
PRTG,559079
NAAS,1495016
VIVK,17838202
AREB,6891813
SLE,786894
RNAZ,833683
LICN,660474
BGM,2832616
LIXT,3542634
KMRK,6205890
PHH,5373166
BDMD,12478758
AQMS,665552
BIYA,2802978
GIPR,4401178
IMCC,870957
ICG,12761425
KXIN,10950550
MTEN,2322105
BULLW,51687160
RDHL,2280096
BRRWW,23134493
FGI,508229
AARD,12391616
FTRK,21812500
SDOT,6971780
SCLX,5462846
MAXN,5706995
LCFY,1118681
DRMA,498470
MDCX,3702170
CLGN,9857659
SNYR,1618172
PPBT,13534
SCAG,26777961
GRAN,1891997
RADX,819522
MRAL,0
CMCT,698560
TELA,31403920
UHGWW,
STEM,7747727
IROH,6459999
SOUNW,824847861
MAMK,1466100
BSGM,19079863
ETHMW,14142757
ANNA,9387147
HSDT,114002
WXM,1115950
TDIC,8384882
WLDS,964594
VVOS,3192484
OCG,13728910
ZEO,27560828
MKZR,1522326
JFBR,366992
HXHX,3794697
BNR,900468
FEBO,3062498
XCUR,1844213
APLM,773023
TRNR,1546851
VRAX,3904056
CCM,123029
TBHC,11522240
MVLL,0
FTHM,12146318
EVLVW,133747699
ATLN,28730723
TLSA,31558519
UBXG,13054103
NOTV,29612375
LVWR,9291833
LSB,8995289
JFB,1581329
AGMH,1832279
UCL,14890125
NTCL,7197793
CDTG,5009952
PHOE,5500008
ULY,1102151
RDZN,25080259
LTRN,8198839
BLIV,5270190
PLUT,386053
XOS,2939249
RBNE,1089999
AFRIW,5430895
ZYXI,17799358
FATBP,4363384
QTTB,4462260
FGL,2528794
SQFT,1158563
RLYB,20559459
CNVS,15958853
WTO,2835317
OPTX,5982168
GLMD,2226760
TAOP,571446
ANTE,1770235
APVO,2997251
ATLX,9502055
NAOV,771300
MAMO,4713464
BTCM,15469683
SNSE,827416
NMTC,44011859
AIHS,991327
XAGE,927220
MRSN,3888461
MNY,19670795
OLB,1859030
OKYO,23704918
MEIP,6150339
TIRX,50167288
LOCL,1896383
SNAL,35908439
ERNA,3381857
ARTL,699970
VHC,3506223
CHR,6382685
ARTW,2401354
BTOC,11435225
SAGT,3842395
GMGI,12063047
FTFT,2289088
CYN,7035542
SRTS,13501185
MTEX,945551
CING,5231030
RUMBW,972685655
UPLD,20412682
XTLB,5315265
WFF,7910647
WALD,11803432
PRLD,42467249
AGAE,10996738
ECOR,5177069
RGTIW,793508318
KWM,0
OWLT,8840283
CALC,6002680
GREE,11338934
GCMGW,51323155
CSAI,17508836
CAMP,2641927
MST,0
UXIN,205927921
SYTA,8892980
RYET,12731514
GELS,4261830
BIRD,7291572
BFRI,8598998
CLLS,85910084
SST,2305074
KOD,48683436
EVOK,1473707
TWNP,2641381
APYX,32186172
WTF,6348051
ISSC,15267731
HURA,32232405
FBGL,4134375
FLUX,12254083
MBX,16195501
FMST,9049855
TECX,10585547
EVEX,50483486
FTCI,7847706
GENVR,471503234
NCEW,4350009
TLYS,29128543
AIRJW,19657433
GCTK,565410
SLN,37668508
XAIR,4618770
CYCN,2017949
APDN,513980
RCEL,24514924
STI,1405981
FCUV,3472869
LIQT,7094219
BWEN,19878731
XIN,341462
PEPG,27862579
HTCO,1876550
AHG,37533895
PCAPW,
HUIZ,21934078
IMA,419760826
NWTG,4159224
SPAI,6382570
SPPL,2916578
DMRC,16291382
ASPS,9229157
SGMT,26129345
RIME,2454031
BAFN,3376439
EMPG,527760
LRHC,480267
WKSP,4941917
JAGX,1522830
IPW,12759308
WENNW,
GRNQ,4518012
STG,12737860
NDRA,752628
FRGT,2282269
AIXI,8989501
MYSE,4697898
SIEB,13225296
ABVC,13417397
GCL,34282638
ITRM,43679494
LVRO,6447717
GRI,2514100
CARV,3684262
TBH,5809673
TEAD,27930797
RETO,2460716
MGX,21893001
PODC,6119201
KRKR,26207720
EHGO,19960677
ONFO,3063701
PMCB,6090364
ICON,2180226
FORD,1236725
LEE,4271295
NWGL,2429011
PASG,2856397
ARTV,5381728
ACOG,12460684
TACOW,31698466
NXPL,13980452
IPWR,8169425
MATH,22484227
QLGN,1556375
LRE,1176750
VERU,12594350
MNTN,43334793
SSII,7477142
KUKE,2186477
VIOT,75338141
SLSN,18204077
DBGI,4491321
VSA,43942166
IVDA,2761332
CTSO,51725137
NXXT,24797184
NCI,1035029
ASTI,2784415
XELB,3386371
CLRO,1734917
VSTL,
TTNP,947408
ANEB,24430195
HOVR,27339076
LITM,7823360
AACIW,23710000
ENGS,2189520
LHSW,17785040
TPCS,8935330
BBOT,447845
MBIO,6030394
SNBR,16401746
PNBK,58398961
SPCB,3512404
PFAI,3625011
NEPH,9236567
THCH,10163757
SILO,7597684
NLSP,2267444
YXT,57348283
INV,26346577
BEEM,13452482
KSCP,8139178
CIFRW,1627692852
INEO,1200603
LNKS,5105434
ADTX,2431150
RILYP,15848976
OXBR,6337957
FATN,6128305
DYAI,25006421
SUUN,23870053
GBIO,4611878
BMR,10896971
FTEK,23901278
BOXL,2201703
INTZ,17465235
DLPN,6999237
ZBAI,702124
AVTX,10460143
RELI,2129798
ELBM,17699307
ADV,87184629
ARMG,0
ONEG,3999970
GTEC,9447555
RZLVW,333023549
CDT,2648967
MYNZ,4527693
GENK,28203980
HYPR,72121645
SKYE,18099828
FLX,31793051
RDGT,3629403
SFHG,4544094
HCAI,1082994
HSCS,2033040
TROO,40429031
IMTE,2926477
YHGJ,8754135
LVO,90408653
IKT,43708456
BLBX,1827988
LEDS,2669155
LITB,8744938
CREX,7124608
MOBX,31470138
IMMX,17167396
DTCK,3182141
GMM,25419682
ELDN,55834628
MXCT,97598281
VS,1756604
VTYX,63189759
AIIO,175095041
ORKT,21620932
CRVO,5991126
VATE,5062036
CELZ,2528454
DOMH,7192433
PRPL,103185974
OPXS,5348099
METCB,55276426
CVV,5249708
CSTE,20519199
WBX,4357527
JLHL,1351552
AIRS,11672535
AUID,11326182
MAAS,120404099
HBNB,
SOPA,4540553
ALUR,6678551
TKNO,10566683
REBN,2457763
UHG,21055494
AENT,3068552
IMDX,7775413
GEOS,11755466
MOBBW,1888806005
QTRX,39258481
ONCY,98087722
XRTX,3624889
DSY,5376930
PRZO,16006410
MDAI,14963479
AVR,30362352
KZIA,357553
RFIL,8327105
SCOR,3445946
PAYS,38992787
BRCC,81266905
GSUN,1635725
MSGY,2394500
EKSO,2434551
GSIT,21685616
CORZW,277961385
LSTA,6840708
SHIM,3748594
ZJK,4993241
MOB,6868385
FUFU,94787267
ANY,26873578
QSG,54681786
SEED,5928062
ZYBT,4418772
NIXX,20637404
APRE,5074931
SWVL,6214194
OMSE,15300211
MSAI,24011323
ATOM,29481029
YGMZ,75986917
CTXR,10533575
ABTS,1331751
NEXM,14811577
AIRG,9804736
HAO,16907675
AP,14590308
CDIO,1761006
FNGR,43605943
SSP,70744783
NTRB,5130218
